date,code,open,high,low,close
8/25/2017,801760,1011.44,1024.31,1010.87,1024.31
8/24/2017,801760,1020.56,1021,1010.81,1012.37
8/23/2017,801760,1026.9,1028.43,1020.01,1021.95
8/22/2017,801760,1035.32,1036.94,1025.67,1027.22
8/21/2017,801760,1033.91,1037.36,1031.95,1037.1
8/18/2017,801760,1035.71,1039.54,1033.24,1034.31
8/17/2017,801760,1034.7,1044.43,1033.99,1041.71
8/16/2017,801760,1019.95,1041.23,1018.54,1037.78
8/15/2017,801760,1019.84,1021.25,1015.61,1021.25
8/14/2017,801760,1001.9,1020.29,1001.83,1020.24
8/11/2017,801760,1001.75,1010.5,999.85,1001.39
8/10/2017,801760,1014.91,1018.12,1001.5,1008.33
8/9/2017,801760,1014.67,1021.61,1013.77,1016.22
8/8/2017,801760,1006.04,1016.18,1001,1016.18
8/7/2017,801760,1002.45,1011.51,1002.44,1007.5
8/4/2017,801760,1009.85,1010.25,1002.59,1003.04
8/3/2017,801760,1000.06,1010.63,1000.06,1010.63
8/2/2017,801760,1008.28,1009.7,1001.09,1001.21
8/1/2017,801760,1009.26,1012.12,1003.55,1009.75
7/31/2017,801760,1007.71,1012.35,1003.19,1009.39
7/28/2017,801760,1013.4,1015.67,1007.13,1008.84
7/27/2017,801760,981.8,1015.37,979.89,1015.12
7/26/2017,801760,983.79,985.39,978.94,983.61
7/25/2017,801760,975.67,985.75,974.39,983.54
7/24/2017,801760,972.98,977.12,968.79,976.5
